age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
59,Self-emp-not-inc,193375,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,10,United-States
28,Private,55360,HS-grad,9,Never-married,Sales,Other-relative,Black,Male,0,0,40,United-States
51,Local-gov,158948,Bachelors,9,Separated,Transport-moving,Husband,White,Male,0,0,84,United-States
51,Private,136080,9th,9,Divorced,Sales,Not-in-family,White,Female,0,0,31,United-States
27,Federal-gov,65663,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
41,Private,187336,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
29,Private,200515,Prof-school,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,Germany
28,Private,126129,Some-college,10,Married-AF-spouse,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
26,Without-pay,345157,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
19,Private,78374,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States
30,Private,391114,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States
25,Federal-gov,160261,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,40,China
38,Private,195025,HS-grad,9,Separated,Priv-house-serv,Unmarried,Black,Female,0,0,32,United-States
42,Private,184105,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,28,United-States
48,Private,377140,5th-6th,3,Widowed,Priv-house-serv,Unmarried,White,Female,0,0,35,Nicaragua
58,Federal-gov,94429,Some-college,10,Separated,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
26,Private,247025,HS-grad,9,Married-spouse-absent,Transport-moving,Husband,White,Male,0,0,65,United-States
46,Private,188161,Preschool,9,Separated,Machine-op-inspct,Own-child,Black,Female,0,0,40,El-Salvador
45,Private,167617,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
22,Private,193385,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States
33,State-gov,226296,HS-grad,9,Never-married,Transport-moving,Other-relative,Black,Male,0,0,40,United-States
28,Private,69107,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
52,Private,146015,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
47,Federal-gov,218325,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines
17,Private,129396,7th-8th,7,Never-married,Adm-clerical,Other-relative,White,Female,0,0,26,United-States
31,State-gov,253456,Some-college,10,Separated,Protective-serv,Husband,White,Male,0,0,40,United-States
21,Private,225311,10th,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
17,Private,99237,5th-6th,7,Widowed,Priv-house-serv,Own-child,White,Male,0,0,30,United-States
47,Private,363418,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,70,United-States
55,Self-emp-not-inc,126840,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
40,Self-emp-not-inc,442045,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,40,Columbia
61,Private,284710,10th,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,1902,45,Taiwan
39,Private,282153,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States
53,Private,71772,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States
57,Self-emp-not-inc,353808,Some-college,10,Married-AF-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States
61,Private,123991,Some-college,10,Married-civ-spouse,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Male,0,0,20,United-States
30,Self-emp-not-inc,115932,HS-grad,9,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,99999,0,50,United-States
38,Private,222450,Some-college,10,Separated,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
33,State-gov,232475,Assoc-acdm,9,Divorced,Craft-repair,Husband,White,Male,0,0,40,United-States
52,Private,35598,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,0,0,40,United-States
54,Local-gov,278230,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Female,10520,0,30,Greece
46,Private,174209,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
49,Self-emp-not-inc,181547,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,30,Columbia
56,Private,34626,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,1980,40,United-States
67,Self-emp-inc,51415,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
28,State-gov,461929,7th-8th,4,Married-AF-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico
35,Private,263081,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Female,0,0,60,United-States
39,Private,117683,10th,6,Divorced,Handlers-cleaners,Husband,White,Female,0,0,45,United-States
78,Private,184762,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3471,0,50,United-States
33,Private,157887,9th,5,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,0,0,50,United-States
46,Private,114160,Preschool,14,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,1902,45,United-States
54,Private,320012,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States
19,Without-pay,375079,HS-grad,10,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States
51,Private,230095,10th,6,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States
36,Private,267556,Preschool,9,Married-spouse-absent,Craft-repair,Husband,White,Male,4064,0,40,United-States
37,Private,95551,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Female,0,0,45,United-States
29,Private,358124,HS-grad,9,Never-married,Other-service,Other-relative,Black,Female,0,0,52,United-States
35,Private,150042,Prof-school,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
27,Private,211208,11th,7,Separated,Sales,Not-in-family,White,Male,0,0,40,United-States
33,Private,229732,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States
79,Local-gov,146244,Assoc-voc,16,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
59,Private,271571,12th,10,Married-AF-spouse,Craft-repair,Unmarried,White,Male,15024,0,50,United-States
40,Private,87771,Some-college,9,Divorced,Craft-repair,Wife,White,Female,0,1628,45,United-States
23,Private,160951,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,2597,0,40,United-States
25,Private,254746,Assoc-voc,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
59,Private,146391,10th,16,Separated,Protective-serv,Husband,White,Male,0,0,50,United-States
26,Self-emp-not-inc,200681,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Outlying-US(Guam-USVI-etc)
29,State-gov,152461,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,42,United-States
32,State-gov,203849,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,19,United-States
57,Private,197642,11th,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States
54,Private,200450,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,35,United-States
30,Private,45427,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,70,United-States
50,Federal-gov,107079,Prof-school,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
57,Private,132145,5th-6th,3,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,United-States
31,Federal-gov,34862,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
38,Private,365307,HS-grad,9,Separated,Priv-house-serv,Not-in-family,White,Female,0,0,32,United-States
25,Private,521400,Doctorate,3,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Mexico
44,Self-emp-inc,128676,HS-grad,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States
50,Self-emp-not-inc,137815,1st-4th,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
48,Private,172709,Assoc-voc,9,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States
22,Private,333158,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,48,United-States
40,Private,51233,Bachelors,13,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,38,United-States
30,Private,143392,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States
29,Federal-gov,95423,Assoc-acdm,9,Married-AF-spouse,Transport-moving,Husband,Other,Male,0,0,80,United-States
48,Private,99127,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States
38,Local-gov,103323,10th,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States
50,State-gov,133014,HS-grad,11,Widowed,Prof-specialty,Husband,White,Female,0,0,40,United-States
51,Self-emp-inc,210940,HS-grad,9,Divorced,Sales,Husband,White,Male,0,2002,45,United-States
55,Self-emp-not-inc,143949,Masters,14,Married-spouse-absent,Prof-specialty,Wife,Other,Female,3103,0,45,United-States
26,Private,104045,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
28,Without-pay,371408,Assoc-voc,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,47,United-States
59,Self-emp-not-inc,381965,HS-grad,9,Married-civ-spouse,Sales,Unmarried,White,Male,0,1740,80,United-States
46,Private,186539,Some-college,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,48,United-States
33,Private,34102,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States
33,Private,125249,HS-grad,9,Separated,Protective-serv,Own-child,White,Female,0,0,40,United-States
43,Local-gov,135606,1st-4th,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States
49,Local-gov,104455,Masters,13,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines
36,Private,202662,Bachelors,14,Married-AF-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
32,Self-emp-not-inc,174201,Masters,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,38,United-States
36,Private,274809,Assoc-acdm,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,50,United-States
18,Private,303240,Assoc-acdm,9,Never-married,Transport-moving,Other-relative,White,Female,0,0,20,United-States
19,Private,206751,HS-grad,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States
40,Federal-gov,77332,Masters,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,50,United-States
43,Private,243380,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
29,Local-gov,419722,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,3674,0,40,United-States
28,Private,29444,HS-grad,9,Widowed,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States
49,Private,129640,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States
24,Private,72310,Some-college,10,Widowed,Sales,Own-child,White,Male,0,0,43,United-States
60,Private,113080,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
28,Private,451742,Masters,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
54,Private,230767,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Cuba
39,Private,129150,7th-8th,13,Never-married,Tech-support,Husband,White,Female,0,0,50,United-States
36,Without-pay,749636,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
24,Private,209034,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States
58,Private,220789,Bachelors,13,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States
37,Self-emp-not-inc,359796,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,United-States
26,State-gov,232914,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
32,Private,46807,10th,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,40,United-States
33,Self-emp-inc,155781,Prof-school,15,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States
18,Private,226956,HS-grad,9,Never-married,Sales,Own-child,Other,Female,0,0,24,United-States
29,Private,160512,HS-grad,9,Separated,Adm-clerical,Own-child,White,Female,0,0,40,United-States
21,Local-gov,154835,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,Vietnam
54,Local-gov,190333,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
63,State-gov,54052,11th,14,Divorced,Sales,Husband,White,Male,0,0,68,United-States
43,Private,143046,Bachelors,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,Greece
49,Private,305657,7th-8th,4,Never-married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
28,Self-emp-not-inc,237466,Preschool,10,Separated,Exec-managerial,Wife,White,Female,0,0,30,United-States
34,Self-emp-not-inc,190151,HS-grad,9,Separated,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,32,United-States
49,Self-emp-inc,198759,Bachelors,12,Married-civ-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,15024,0,60,United-States
20,Private,146538,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Cuba
23,State-gov,272185,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,33,United-States
26,Local-gov,345405,HS-grad,9,Divorced,Sales,Husband,White,Male,2885,0,40,United-States
17,Private,333304,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States
29,Private,184806,Assoc-voc,12,Never-married,Priv-house-serv,Own-child,Asian-Pac-Islander,Male,0,0,20,United-States
31,Private,162572,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States
19,Private,571853,HS-grad,9,Widowed,Other-service,Own-child,White,Male,0,0,30,United-States
19,Private,142037,Preschool,7,Never-married,Transport-moving,Own-child,White,Male,0,0,30,United-States
36,Private,166416,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
38,State-gov,149347,7th-8th,9,Married-spouse-absent,Craft-repair,Husband,White,Male,0,0,40,United-States
29,Self-emp-inc,53147,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,37,United-States
39,Private,191503,Assoc-voc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States
50,Federal-gov,163948,Masters,14,Widowed,Sales,Husband,White,Male,0,0,40,United-States
41,Self-emp-not-inc,78410,10th,9,Widowed,Adm-clerical,Wife,White,Female,0,0,40,United-States
36,State-gov,147258,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,United-States
34,Private,321787,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
62,Without-pay,232308,Bachelors,13,Married-spouse-absent,Other-service,Husband,White,Male,0,0,40,United-States
19,Private,32477,Some-college,10,Separated,Other-service,Own-child,White,Male,0,0,20,United-States
51,Federal-gov,163671,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States
35,Federal-gov,200153,12th,14,Married-spouse-absent,Exec-managerial,Husband,White,Male,0,0,45,United-States
57,Private,73051,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,40,Scotland
22,Federal-gov,288132,7th-8th,10,Never-married,Sales,Own-child,White,Female,0,0,35,United-States
48,Without-pay,59380,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Male,0,0,45,United-States
47,Self-emp-inc,332355,Masters,14,Divorced,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,15024,0,50,Japan
51,Private,195105,Masters,9,Divorced,Priv-house-serv,Own-child,White,Female,0,0,40,United-States
35,Self-emp-not-inc,300681,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Female,7298,0,35,Peru
52,Private,175714,9th,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States
38,Private,131808,Assoc-acdm,11,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States
38,State-gov,186359,10th,10,Married-spouse-absent,Exec-managerial,Husband,White,Male,0,0,40,United-States
26,Private,140649,1st-4th,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
38,Private,176458,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,35,United-States
35,Self-emp-not-inc,188540,12th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
49,Self-emp-inc,349986,Preschool,13,Married-spouse-absent,Prof-specialty,Husband,Other,Male,0,0,60,United-States
19,Private,208506,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,28,United-States
53,Local-gov,152373,Some-college,10,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,48,United-States
42,Federal-gov,193882,1st-4th,9,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,0,0,50,United-States
19,Local-gov,298891,11th,7,Never-married,Sales,Not-in-family,White,Female,0,0,40,Honduras
26,Private,91683,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States
51,Private,282744,Bachelors,13,Divorced,Farming-fishing,Husband,White,Male,0,0,40,Jamaica
20,Private,190273,Masters,8,Widowed,Other-service,Own-child,White,Male,0,0,35,United-States
36,Local-gov,251091,1st-4th,13,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,0,0,60,United-States
39,Private,179137,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
27,Federal-gov,491607,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,32,United-States
50,State-gov,98980,Prof-school,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,7298,0,40,United-States
33,Private,235109,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
51,Private,201127,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States
29,Private,71860,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States
58,Self-emp-inc,190541,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,47,United-States
17,Private,177629,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
