ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
419,50000,B,C,C,48,A,A,A,A,A,A,44338,43048,35639,18753,19091,19548,3629,3332,2000,2000,2000,2500,A
11124,80000,B,A,C,44,A,<nil>,A,A,A,A,68677,68947,67025,64850,63658,63005,3152,2873,2380,2401,2492,2073,A
1214,80000,B,B,C,26,A,J,J,E,J,A,63677,64162,38141,38190,38586,39962,2000,1905,1350,1388,2401,1410,A
12431,20000,B,G,B,24,B,K,I,K,G,<nil>,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,B
15626,50000,B,<nil>,C,30,A,A,A,A,A,A,86750,42968,43444,40616,2008,-1500,4000,4013,5000,5000,5000,5000,A
7161,60000,B,B,C,24,A,A,A,A,<nil>,A,20873,22228,22691,22816,26587,22917,2000,1246,720,4780,1700,4000,A
11633,170000,B,C,C,43,A,A,A,A,A,A,78429,81991,81688,100841,23528,32579,5000,3000,20000,5000,10000,10000,A
2500,340000,B,B,C,26,A,A,A,A,A,A,337871,311076,156674,129651,126192,94722,11208,5000,23809,4136,3600,3169,A
27289,360000,B,C,A,31,A,A,A,C,A,A,359491,354962,276310,196654,186281,177587,14108,11100,6992,7000,6372,5845,B
21953,280000,B,C,C,27,C,D,A,D,B,A,109392,128447,131053,132418,134038,136939,21000,6150,5000,5300,5200,5250,A
10109,30000,A,C,B,24,A,A,A,I,A,A,29416,30476,30386,29769,30395,30348,1540,1447,1027,1066,1288,1104,A
29857,260000,B,D,C,39,A,A,A,A,A,A,30498,31500,31619,22020,22040,23061,1894,1403,1642,1053,2000,425,A
16904,100000,B,D,C,45,A,A,A,A,A,A,10380,71944,72486,73717,74402,73187,72024,4028,6006,3018,3000,3008,A
10733,260000,A,F,C,32,A,A,A,D,A,A,169734,168207,155963,148701,141039,143838,6568,6025,5703,5123,5148,5368,B
4841,50000,A,D,B,37,A,C,<nil>,A,A,J,30411,31130,30308,28902,29215,28963,1500,0,1016,1046,1129,869,B
2913,50000,A,B,C,29,K,K,K,K,I,I,2459,2471,6015,5625,3056,2439,2471,6015,0,3056,2439,3026,B
17998,360000,B,B,C,32,C,<nil>,<nil>,I,B,A,8971,2284,21669,-3,15866,-46,2303,21785,0,15869,0,0,A
6370,80000,B,B,C,34,J,J,J,J,J,A,49005,49551,45930,0,0,0,2141,2150,0,0,0,0,A
1039,50000,B,D,C,23,A,A,A,A,A,A,43979,33403,20879,18573,17318,17936,2000,2000,2000,1000,1000,2800,A
7932,150000,B,C,C,22,A,A,A,E,A,A,7600,8749,10652,32330,15681,6173,1300,3652,33866,410,200,776,A
27162,300000,B,D,C,40,A,A,A,A,A,A,39883,42349,44095,46502,47578,48959,3000,2600,3000,2000,2000,2000,A
29422,140000,A,C,C,30,B,K,<nil>,A,A,A,2663,1823,1823,1769,84042,89381,1823,1823,1769,85096,9000,4000,A
12544,80000,B,D,C,28,A,A,A,A,A,A,77450,78100,76204,66876,66182,67199,3500,2600,2400,2500,2700,2300,A
28871,30000,A,D,B,39,A,A,A,J,A,A,30238,30166,29745,27468,27436,27613,2000,1635,1438,796,5000,1000,B
23077,200000,A,B,C,32,A,K,K,K,I,I,14279,3904,24274,5196,4996,16890,3904,24277,4996,0,16890,6077,A
13175,200000,B,C,C,25,A,A,<nil>,J,A,A,194202,197220,130930,130775,128752,122695,8000,4500,4532,5451,5000,4500,A
29561,220000,B,A,C,38,A,A,A,A,A,A,1815,743,743,43,-657,-1357,1486,0,0,0,0,0,A
5737,90000,A,<nil>,D,35,A,A,A,F,A,A,63426,57922,55010,52540,56236,40922,2700,2500,1900,4600,0,1600,B
19917,30000,B,F,C,49,J,J,J,J,J,A,3340,0,1220,480,0,174,0,1220,480,0,174,1162,A
23903,50000,B,<nil>,C,29,A,A,A,A,A,A,51232,50732,50962,49908,32361,21138,1900,2300,1500,1500,900,900,A
28932,280000,B,B,C,35,A,A,A,A,A,A,171057,173712,177913,182942,186892,197661,7000,7000,8000,7000,14000,8000,A
8884,100000,B,C,B,24,<nil>,K,J,K,J,J,13233,13427,13609,14683,15001,15306,700,700,1300,700,700,0,B
27020,400000,B,B,C,43,K,K,<nil>,J,J,A,-5,-5,5498,3259,5949,1111,0,5503,3262,5966,1111,2420,A
12690,250000,B,C,C,42,A,A,<nil>,A,A,A,255473,256003,254970,209124,213392,205180,11300,12177,7200,8000,7700,8003,A
22732,190000,B,B,C,33,<nil>,A,A,A,A,A,153962,161376,162437,117364,100765,112095,10000,6000,30000,5000,13000,34000,A
29682,360000,B,B,C,40,C,H,J,G,J,J,499,499,499,13136,9160,2752,0,0,13169,2784,12,14293,B
27029,30000,B,C,B,33,A,A,A,C,A,A,59867,28357,29312,26404,25806,26325,1500,1433,1500,920,929,0,B
24547,120000,A,C,B,39,K,<nil>,K,K,I,I,30000,0,10780,0,12000,0,0,10780,0,12000,0,1000,A
16684,20000,A,D,B,44,A,A,A,C,A,A,11623,12436,12943,15428,14883,15494,1300,1000,2700,0,850,850,B
242,50000,B,B,C,39,A,A,A,A,A,A,47174,47974,48630,50803,30789,15874,1800,2000,3000,2000,2000,2000,A
12620,30000,A,C,B,41,C,H,C,D,B,J,25594,21485,22320,23933,22742,2500,0,1300,5000,945,1850,1060,B
27647,120000,A,C,C,24,A,B,A,G,A,A,93338,91207,89890,88030,88579,89566,3261,4793,3013,3014,3522,3007,A
25276,30000,A,C,C,23,A,K,J,F,J,J,28767,27567,28638,28818,29439,17685,1749,1820,1000,621,354,0,B
15572,500000,A,B,B,50,K,K,J,K,J,A,2112,6000,2079,2710,2040,-55,6031,2509,2713,2010,0,4642,A
21441,160000,B,<nil>,C,29,A,A,A,A,A,A,3462,4673,12741,10023,11023,8922,4000,12841,1000,1000,178,4000,A
19379,120000,B,B,C,36,<nil>,K,K,K,I,A,106609,380,0,970,5576,0,380,0,970,5576,0,2785,A
1953,340000,B,C,C,41,A,A,A,A,A,A,331003,332829,274467,275341,280913,270448,15110,11019,9502,9579,9026,8719,A
10744,360000,B,D,C,41,K,K,J,J,J,A,390,390,390,390,390,390,390,390,390,390,390,0,A
6258,20000,B,C,C,45,A,A,A,A,A,A,3213,4308,4093,4866,6781,7668,1300,0,1000,2000,1000,0,A
1595,320000,B,B,C,29,K,A,A,A,A,A,500,500,0,0,0,2900,500,0,0,0,2900,0,A
16943,30000,A,B,C,57,A,A,A,C,A,A,22957,23978,26749,28085,27344,26768,1707,3478,2073,0,0,1129,B
1985,230000,B,C,C,24,A,A,A,A,A,A,24973,24974,25566,23427,28229,31355,5000,5000,2100,5229,3355,4598,A
25192,50000,A,B,C,23,C,F,A,B,A,A,44609,44579,46573,47510,48425,49502,1000,3000,2000,2000,2000,0,B
10873,480000,B,D,C,42,J,K,J,J,J,A,7245,0,0,0,790,0,0,0,0,790,0,0,A
26459,100000,B,C,C,50,A,A,A,A,A,A,94745,96838,95732,91556,93403,95661,4600,4600,3500,3372,3793,4000,A
1043,110000,B,C,C,42,A,A,A,A,A,A,55349,52914,49483,49292,49460,49470,2096,2003,1802,1783,1783,1756,A
28333,420000,B,C,C,34,A,A,A,A,A,A,49256,48264,45983,41494,41065,40666,4000,2650,1043,42000,40666,48424,A
20855,80000,B,C,D,34,A,A,A,C,A,A,81882,81814,78353,78814,49062,48764,3650,0,3328,1888,1787,1960,B
21360,70000,A,B,C,57,A,A,<nil>,A,A,A,70051,69398,70352,69936,68118,65942,3567,2667,2321,2391,2316,2466,A
1784,80000,B,B,C,22,K,J,J,J,J,A,10439,11501,12113,-33,2748,90,11501,1000,33,2871,90,0,A
63,50000,B,B,A,29,A,A,A,C,A,A,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,B
1,20000,A,C,D,24,C,E,<nil>,J,J,A,3913,3102,689,0,0,0,0,689,0,0,0,0,B
18770,80000,B,<nil>,C,26,A,A,A,A,A,A,26158,27041,27797,5958,11341,5259,1623,5879,1000,11360,486,478,A
3463,200000,B,C,C,37,A,A,<nil>,A,A,A,199669,204168,202381,172574,171795,170960,9300,7851,6400,6500,6537,6200,A
14035,180000,A,G,D,36,A,A,A,G,A,A,161159,151558,154648,156584,166960,164012,7000,7100,6000,13100,0,6000,B
12790,300000,B,B,C,26,A,A,A,A,A,A,48729,47798,57390,36766,38586,84950,7500,18340,1000,3000,57543,64629,A
18374,80000,B,C,C,23,K,A,A,A,A,A,-1678,75061,3647,2173,390,780,78000,3647,0,0,780,0,A
26882,500000,B,B,C,29,A,A,A,A,A,A,29276,7934,635,12416,4022,259,7972,637,12553,4070,259,11675,A
2145,20000,A,D,A,27,D,H,F,C,A,<nil>,4899,4675,5685,6490,6837,6435,0,1095,900,596,0,0,B
24129,110000,B,C,C,27,A,A,A,A,A,A,107339,109029,106974,97327,60454,59062,3873,5051,3645,1984,3000,2356,A
5853,200000,A,F,D,28,A,A,A,I,A,A,61844,60294,63663,67596,66388,71272,0,5000,5000,0,6000,0,B
3666,100000,B,C,C,28,A,A,A,A,A,A,36428,48850,20904,13955,14573,16084,6000,5000,1000,4000,5000,8000,A
11607,460000,B,B,C,38,K,K,J,J,J,A,21203,21828,13776,8226,12497,4503,21833,13779,8226,12497,4503,5844,A
29593,30000,B,B,C,49,A,A,A,A,A,A,25144,25831,29122,28277,20390,20555,1500,4500,0,900,1000,2000,A
606,50000,A,C,C,34,C,E,C,C,B,B,22746,22099,24121,23437,25101,24549,0,2700,0,2200,0,1030,A
14743,150000,B,B,C,25,A,A,A,A,<nil>,A,132684,128111,120509,74837,74391,66932,5713,12137,9005,2528,3119,2548,A
13061,200000,B,B,C,48,J,K,J,J,J,A,8000,7919,4684,2992,7559,4967,7919,4687,3051,7559,4967,4134,A
2272,150000,B,B,C,44,A,A,A,A,A,A,0,0,1512,0,0,0,0,1512,0,0,0,0,A
1879,300000,B,B,C,31,A,A,A,A,A,A,0,1110,12192,7639,1722,4064,1110,12192,300,191,4064,390,A
17684,70000,A,B,C,36,A,A,A,A,A,A,79640,75021,71101,73831,46898,48686,3000,2893,4231,8000,2500,1675,A
3039,280000,A,C,B,37,J,K,J,K,J,A,2035,11009,9360,7480,4402,3646,11009,9370,7486,4402,3646,6059,A
21431,160000,B,B,C,26,K,K,J,J,J,A,5323,1714,2003,2580,0,380,1726,2235,2605,0,380,1488,A
27420,50000,B,B,B,45,K,<nil>,K,K,I,I,390,390,390,390,390,390,390,390,390,390,390,390,B
14738,420000,B,C,C,36,A,A,A,A,A,A,56068,55115,19304,22304,28465,38182,15005,10013,10000,10000,20000,20000,A
11727,40000,B,C,C,44,A,A,<nil>,A,A,A,36917,38260,32680,23472,25436,34309,2000,2000,1000,3000,10000,1142,A
1029,200000,A,B,C,33,K,K,K,K,I,I,-5,3465,3191,1873,90687,4577,3470,3191,0,90729,0,6266,A
18180,120000,A,C,C,38,C,K,C,C,B,<nil>,500,0,0,974,974,1624,0,0,974,0,650,0,A
25401,20000,A,<nil>,C,24,A,C,A,J,C,B,18466,15946,16327,17970,18819,16642,1500,1500,2000,1000,1000,1000,B
28982,110000,B,B,C,32,A,A,A,A,A,A,46603,48351,51815,47225,34975,43725,2536,5000,1653,1500,10000,1495,A
23485,490000,B,B,B,31,K,K,J,A,J,A,470579,482733,492718,282450,287363,272578,19469,20000,12000,11000,10000,10000,A
6544,430000,B,B,C,43,K,K,J,J,J,A,20849,3662,7719,4437,2912,6368,3814,7759,4451,2915,6383,9025,A
7525,270000,B,B,B,32,J,K,J,J,J,A,3979,511,10069,9214,199,0,511,10069,186,199,0,0,A
4222,150000,A,C,B,36,K,K,<nil>,B,I,I,123160,134948,130982,125296,122664,112055,20000,6100,4000,5500,3002,7000,B
9758,110000,B,D,C,27,A,A,A,A,A,A,55567,65753,65379,65467,64596,62405,15753,5379,5467,4596,3405,1492,A
1942,360000,B,D,C,53,A,K,J,J,J,A,0,0,0,0,0,0,0,0,0,0,0,0,A
12494,30000,B,C,B,33,A,A,A,C,A,A,42646,30060,28391,26156,25377,27422,2159,1500,1000,1000,3800,0,B
8328,70000,A,C,C,50,A,A,A,H,A,A,64315,58564,56741,25172,29186,25430,3000,10032,8000,5139,1000,1000,B
3450,210000,A,C,B,42,B,C,K,J,I,I,652,0,326,321,1435,8480,0,326,326,1440,8521,9592,A
17412,20000,A,D,B,38,A,A,A,A,A,A,15894,15354,14786,16457,15423,14837,1225,1329,2000,2000,700,1500,A
24874,70000,B,<nil>,B,36,C,I,C,B,B,B,30809,30015,32928,32100,34557,35357,0,3400,0,3000,1500,1500,B
14432,200000,B,C,C,27,A,A,A,A,A,A,127843,131352,130884,132142,118084,114281,6579,4734,4368,4183,4227,4066,A
26174,10000,A,C,D,46,J,J,J,F,J,J,1526,2496,4245,4525,5450,5073,1000,1800,500,1000,0,0,B
14659,20000,A,C,B,51,A,A,<nil>,A,A,A,14681,14777,15025,16504,17950,19558,1562,1200,2000,2000,2000,3000,A
12831,350000,A,D,B,38,K,K,K,K,I,I,7633,7600,21405,6390,6076,9610,7638,21511,6421,6106,9657,5731,A
26083,20000,B,C,C,36,<nil>,H,A,C,B,A,16161,17596,17031,19715,19806,18747,2000,0,3300,700,0,1200,A
16458,130000,B,B,C,51,A,A,A,A,A,A,73903,74661,75593,78110,81793,86452,6000,5002,6000,5000,6000,4000,A
12481,110000,B,B,D,34,<nil>,A,A,A,A,A,93039,81169,82800,107986,99627,80610,4500,4100,67606,4100,3100,2861,A
4527,270000,B,B,B,37,A,A,A,C,A,A,156346,159223,165480,76144,77944,76577,7000,9000,5000,3000,3000,3000,B
21997,160000,B,B,D,27,J,K,J,J,J,A,1040,1188,1276,372,372,372,1320,1276,372,372,372,372,A
414,230000,A,<nil>,C,27,A,A,A,E,A,A,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641,B
20428,20000,B,B,D,26,<nil>,C,C,H,B,B,150,150,150,150,150,1150,0,0,0,0,1150,0,B
9368,130000,A,B,B,36,K,K,K,K,I,I,9164,4603,5000,1500,0,390,4605,5000,1500,0,390,5874,A
18511,50000,B,D,C,23,A,A,A,A,A,A,40544,41098,28383,28937,29119,29334,2000,1500,1432,1004,1035,1178,A
15825,80000,B,B,C,27,K,K,J,J,J,A,4073,3863,8109,7849,0,0,0,4500,21,0,0,0,A
3955,420000,B,B,C,30,A,A,A,A,A,A,34567,36416,7406,0,12150,150,10000,2056,0,12150,150,399,A
22776,450000,B,C,C,46,J,J,J,J,J,A,30535,83371,17471,10342,51786,45747,84267,17566,10401,52045,45812,169,A
22283,260000,B,C,C,30,A,A,A,A,A,A,66433,67134,67768,69033,70166,71377,2400,2496,2429,2599,2827,2050,A
8465,470000,B,C,C,31,A,A,A,A,<nil>,A,78833,80562,82718,85334,87948,90479,3000,3500,4000,4000,4000,4200,A
7386,10000,B,D,C,49,A,A,<nil>,A,A,A,6904,7841,9635,17622,8991,0,1206,2000,176,360,0,0,A
15169,50000,B,C,C,23,A,A,A,J,A,A,50859,49808,49993,50025,29562,29786,1965,2150,2118,1045,1077,1070,A
26112,180000,B,<nil>,C,35,A,A,A,A,A,A,7210,370,8479,792,3826,1997,370,8875,792,3826,1997,396,A
28388,50000,B,D,C,34,A,A,A,A,A,A,51037,47669,48940,50545,29523,28960,2100,2329,2943,990,1168,975,A
23090,220000,B,C,C,38,A,A,A,A,A,A,166513,163731,167204,169009,169554,178683,7400,7600,6100,6205,12000,7500,A
15253,180000,A,C,A,31,J,J,J,E,J,J,384,0,0,0,503,2156,0,0,0,503,2343,1988,B
18199,20000,B,C,C,40,C,H,C,D,C,B,8545,10177,10467,11987,11503,11175,1923,600,2000,0,0,1000,B
22921,250000,B,C,C,27,A,A,A,A,A,A,4883,3090,1404,5208,59006,12072,2500,1000,5208,54000,5000,10000,A
2289,70000,B,<nil>,C,28,A,A,A,A,A,A,35155,26598,22793,23156,24810,27433,23,1637,1000,2000,3007,3014,A
15371,230000,B,B,C,29,A,A,A,A,A,A,23586,6633,2525,146959,150080,153186,5576,2525,146959,4452,4586,5497,A
13743,90000,B,B,C,38,A,A,A,A,A,A,2346,15271,16360,41936,538,2716,15271,2000,30000,538,2716,652,A
16665,480000,B,B,B,47,A,A,<nil>,A,A,A,10668,-2,454,150198,143388,157758,0,456,150244,2915,24550,100,A
24930,350000,B,<nil>,C,38,A,A,<nil>,A,A,A,70845,69318,71301,75129,71313,68046,0,3500,5500,0,2500,2000,A
5322,60000,B,B,C,26,K,K,J,K,J,A,3437,16932,2301,6220,2227,10416,16960,0,6227,0,10416,0,A
15833,50000,B,<nil>,C,27,A,A,A,A,A,A,33944,29194,27862,21229,20178,19275,1513,2000,2000,1000,1000,1000,A
7916,400000,B,C,C,29,C,<nil>,A,C,B,A,6748,7777,20192,17337,5396,516,7777,20192,17337,0,516,53871,A
11431,130000,B,B,C,28,K,K,<nil>,J,J,A,381,550,547,226,73,-121,551,548,226,105,89,0,A
17356,50000,A,D,A,48,A,A,A,I,A,A,41842,42422,43050,43650,45217,46044,1984,2019,2026,3000,2000,1500,B
29888,140000,B,A,C,34,<nil>,<nil>,A,A,A,A,32538,36002,40422,44433,28029,32386,4000,5000,5000,5000,5000,10000,A
1524,30000,A,B,C,27,<nil>,A,A,G,A,A,28207,29261,28497,29862,43148,30603,1800,0,2150,900,3776,0,B
14922,140000,B,B,B,34,A,A,A,A,A,A,103288,98632,93615,91282,88128,87812,4500,4126,3509,3500,4000,3500,A
14086,240000,B,<nil>,C,39,A,A,A,A,A,A,228610,182982,150022,151787,154922,159113,0,7000,5000,5000,6000,6000,A
19899,130000,A,C,D,33,A,A,A,A,A,A,73250,71473,73892,74400,62134,63430,0,3572,2645,1813,1878,2210,B
29026,90000,A,B,C,28,A,A,A,B,A,A,88627,86357,84131,85225,90347,85725,0,0,3400,6500,0,3301,B
14755,300000,B,B,B,29,A,A,A,A,A,A,64437,65905,67344,69268,70647,73044,2000,2000,2500,2100,3000,2000,A
2635,200000,A,B,B,42,J,J,J,D,J,A,0,0,0,0,0,0,0,0,0,0,0,665,B
23516,150000,B,B,C,32,A,A,A,A,A,A,18519,19926,18600,13551,20759,21200,3000,4003,2551,15579,11200,3575,A
22396,320000,B,A,C,30,A,A,A,A,A,A,60947,62660,22693,23705,24012,24703,2868,1681,1693,1000,1077,1336,A
18911,110000,A,C,A,29,D,J,J,J,J,J,600,600,600,600,600,300,0,0,0,0,0,0,B
28814,160000,B,A,C,38,A,A,A,A,A,A,6555,0,0,0,0,0,0,0,0,0,0,0,A
9606,110000,B,D,C,45,A,A,A,A,A,A,9242,9484,13922,18766,28498,30667,5000,5000,5000,10000,5000,5000,A
1131,230000,A,C,B,34,A,A,A,C,A,A,234328,234211,157345,155335,153427,150514,8913,5449,5339,5370,4435,4432,B
13025,240000,A,C,A,48,J,J,J,H,J,J,-5,-5,1056,-4,950,158,0,1061,0,954,158,1796,B
25747,160000,A,C,C,41,K,K,K,K,I,I,0,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,A
25056,240000,B,F,C,50,A,A,A,A,A,A,236470,242059,235353,240001,190904,193710,9560,9000,8790,8013,8125,8000,A
1417,30000,B,B,C,24,K,K,J,J,J,A,4882,14630,6323,2870,1485,3926,14630,6485,2870,1485,3926,0,A
5850,280000,B,D,C,61,A,A,<nil>,A,A,A,162734,146990,149201,152377,155764,148302,7000,6000,5500,5800,5200,6000,A
12493,20000,B,<nil>,C,33,A,A,A,A,A,A,2909,3537,4120,3802,3484,3152,1224,1197,269,269,261,227,A
1622,240000,B,B,C,29,A,A,<nil>,A,A,A,240248,221277,201606,183454,180255,184230,11000,9100,8000,8000,7000,8000,A
18782,200000,B,B,C,30,J,J,J,J,J,A,38398,20693,27932,12585,45031,19836,0,15015,0,45031,20000,45010,A
11720,70000,A,B,D,29,A,A,A,K,A,A,44594,45588,46540,47378,46490,47758,2000,2000,1900,0,2200,3600,B
1841,70000,A,<nil>,C,31,A,A,A,A,A,A,60058,49647,43968,41127,39137,28712,1834,1608,1559,1630,1300,1000,A
20947,130000,B,D,C,33,A,A,A,A,A,A,126592,123377,59064,46825,46730,47775,5264,2188,2500,1122,1500,1200,A
7178,500000,B,C,B,61,E,K,J,E,J,A,0,0,0,0,0,0,0,0,0,0,0,0,B
23758,290000,A,C,B,49,A,A,A,G,A,A,282538,281749,238490,86202,83155,84927,10711,12915,2962,2863,2996,3257,B
14345,230000,B,C,C,42,A,A,A,A,A,A,5838,6369,6790,8171,7396,7757,1300,1200,2000,0,1000,2000,A
11188,200000,A,A,B,39,K,K,J,K,J,A,3603,272,5881,0,3331,0,0,5881,20,3331,0,8447,A
25848,320000,A,B,D,32,K,K,K,K,I,A,1145,4133,2488,21222,15115,27279,4135,2488,21238,5000,15000,545,A
27438,400000,B,C,C,46,A,A,A,A,A,A,113125,98056,141712,123382,125687,128018,8000,128000,5000,5000,5000,5000,A
11491,500000,B,C,C,37,A,A,A,A,<nil>,A,71455,79079,73583,79481,115741,168319,10004,10104,10000,40000,10000,10000,A
13552,300000,A,B,B,39,K,K,K,K,I,I,1134,611,0,0,706,0,613,0,0,706,0,0,A
1487,230000,B,<nil>,C,32,A,A,A,A,A,A,44734,47178,29582,38426,42500,43531,10120,20000,10000,5000,5000,5000,A
15713,170000,B,D,C,37,A,A,A,A,A,A,0,0,0,0,0,0,0,0,0,0,0,0,A
25546,360000,B,B,C,36,J,K,J,J,J,A,13686,1992,604,0,3960,0,1992,604,0,3960,0,2313,A
24294,30000,A,C,C,47,A,A,A,A,A,A,29119,29827,29583,29166,29066,29008,1500,2019,1400,600,580,0,A
1239,120000,B,C,B,57,A,A,A,C,A,A,118709,120580,118684,88557,91124,88094,5000,5007,4000,4003,4003,4000,B
15321,170000,A,C,C,38,J,J,J,I,J,J,0,0,0,0,0,330,0,0,0,0,330,1290,B
10606,70000,B,C,C,24,A,A,A,A,A,A,68659,68259,14690,9980,15607,15209,3500,1400,700,6000,0,1000,A
9910,50000,A,D,C,44,A,A,<nil>,H,A,A,42115,41164,43658,44644,43798,44912,0,3500,2000,0,2000,2000,B
6110,200000,B,C,B,39,A,A,A,A,A,A,193162,191772,174199,173102,152178,129082,7294,5443,6000,5500,5000,5000,A
24065,130000,B,C,C,27,A,A,A,A,A,A,7100,4007,4900,1235,3946,2817,1100,1000,1235,3011,1008,966,A
6064,320000,B,B,C,33,J,J,J,J,J,A,-347,-347,-347,-347,-347,13694,0,0,0,0,14041,1613,A
15349,50000,B,C,C,37,A,A,A,A,A,A,24380,23325,21940,20718,24048,5017,1366,1400,1200,5000,5017,71,A
29995,80000,B,E,C,34,C,C,H,H,D,C,72557,77708,79384,77519,82607,81158,7000,3500,0,7000,0,4000,B
23499,230000,B,B,C,33,K,J,J,J,J,A,7990,13450,56729,-1310,6734,87161,13450,56729,0,8044,87161,5000,A
15804,70000,B,G,C,24,A,A,A,B,A,A,61094,62483,63882,64733,66680,71243,3000,3000,2500,3000,5800,0,A
24902,210000,B,F,C,31,A,A,A,A,A,A,195615,199825,124788,126946,93925,-285,9234,5185,4900,4526,21787,152951,A
18860,140000,B,C,C,28,A,A,A,A,A,A,129925,131624,133763,133195,101298,101601,6200,6600,4225,3800,3816,4000,A
20054,440000,A,C,B,39,A,A,A,F,A,A,388357,390101,387948,354871,238196,200777,14193,14740,9655,6453,5478,4919,B
9017,60000,B,C,C,31,A,A,A,A,A,A,19921,20993,21736,23172,22661,24087,1700,1400,1800,0,1800,0,A
9151,220000,A,C,B,41,K,K,K,K,I,I,8840,1369,5924,1759,1824,7022,6643,5924,1759,1824,7022,2515,A
25706,430000,B,C,C,29,A,<nil>,A,A,A,A,111409,114071,116749,118319,121351,125225,6000,6000,5000,5000,6000,5000,A
15060,70000,B,<nil>,C,34,A,A,A,A,A,A,63580,64688,66566,56942,58986,61031,3000,3002,2500,3000,3000,2502,A
8615,290000,B,B,C,46,K,<nil>,K,K,I,A,2052,4146,700,5055,694,3207,4146,700,5077,694,3207,0,A
24225,180000,B,<nil>,C,30,A,A,A,A,A,A,42198,43192,47493,48401,50096,51238,2000,5000,2000,2500,2100,1623,A
15953,500000,B,<nil>,B,30,A,A,A,A,A,A,98618,73464,84741,72510,69053,64841,25464,43095,7522,9065,8841,12000,A
6968,140000,B,C,C,29,A,A,A,A,A,A,43030,44335,45351,46317,55506,56609,2000,1755,1721,10000,2028,3000,A
20044,220000,A,F,B,32,K,K,K,K,I,I,18477,16341,11125,10000,10000,10000,16370,11125,10000,10000,10000,301,A
