Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker
A13,12.0,A32,A40,1330.0,A61,A75,4.0,A93,A101,1.0,A121,26.0,A143,A152,1.0,A173,1.0,A191,A201
A14,30.0,A34,A43,3656.0,A64,A75,4.0,A91,A101,4.0,A122,49.0,A142,A152,2.0,A172,1.0,A191,A201
A11,18.0,missing,missing,976.0,missing,missing,1.0,A92,A101,2.0,missing,23.0,missing,A152,1.0,A172,1.0,missing,A201
A14,12.0,missing,missing,2149.0,A61,missing,4.0,missing,A101,1.0,A124,29.0,A141,A153,1.0,A173,1.0,missing,missing
A11,48.0,A33,A40,7763.0,A64,A75,4.0,A91,A103,4.0,A124,42.0,A141,A153,1.0,A174,1.0,A191,A202
A11,6.0,A32,A41,3384.0,A64,A73,1.0,A93,A101,4.0,A121,44.0,A141,A151,1.0,A174,1.0,A192,A201
A11,24.0,A32,A43,1282.0,A62,A73,4.0,A92,A101,2.0,A123,32.0,A143,A152,1.0,A172,1.0,A191,A201
A14,18.0,A34,A40,1028.0,A64,A73,4.0,A93,A103,3.0,A121,36.0,A143,A152,2.0,A173,1.0,A191,A201
A13,24.0,A33,A40,1393.0,A61,A73,2.0,A93,A103,2.0,A121,31.0,A143,A152,1.0,A173,1.0,A191,A201
A11,12.0,A32,A43,707.0,A64,A73,4.0,A92,A101,2.0,A121,30.0,A141,A152,2.0,A173,1.0,A192,A201
A11,21.0,A34,A40,571.0,A61,A75,4.0,A91,A103,4.0,A121,65.0,A143,A152,2.0,A173,1.0,A191,A201
A11,36.0,A33,A41,8229.0,A62,A71,2.0,A92,A101,2.0,A122,26.0,A141,A152,1.0,A173,2.0,A191,A201
A11,10.0,A34,A41,2241.0,A61,A71,1.0,A92,A101,3.0,A121,48.0,A143,A151,2.0,A172,2.0,A191,A202
A14,12.0,A34,A43,2331.0,missing,A73,1.0,A92,missing,4.0,A121,49.0,A143,A152,1.0,A173,1.0,missing,A201
A12,30.0,missing,missing,3496.0,A64,missing,4.0,A93,A101,2.0,missing,34.0,A142,A152,1.0,A173,2.0,missing,A201
A13,18.0,A32,A43,2169.0,A61,A73,4.0,A93,A101,2.0,A121,28.0,A142,A152,1.0,A173,1.0,A192,A201
A13,24.0,missing,missing,5743.0,A64,A73,2.0,A93,A101,4.0,A124,24.0,A143,A153,2.0,A173,1.0,missing,A201
A12,24.0,A32,A43,11328.0,A61,A73,2.0,A93,A101,3.0,A124,29.0,A143,A152,2.0,A174,1.0,A192,A201
A14,6.0,missing,missing,1750.0,missing,missing,2.0,missing,A101,4.0,A122,45.0,A141,A151,1.0,A172,2.0,missing,A201
A12,24.0,A34,A43,5084.0,A61,A73,2.0,A92,A101,4.0,A122,42.0,A143,A152,1.0,A173,1.0,A192,A201
A13,12.0,A32,A49,902.0,A65,A74,4.0,A91,A101,4.0,A122,21.0,A143,A152,1.0,A173,1.0,A191,A201
A11,24.0,A32,A43,3660.0,A62,A73,2.0,A92,A101,4.0,A122,28.0,A143,A152,1.0,A173,1.0,A191,A201
A13,24.0,A34,missing,3617.0,missing,missing,4.0,A93,missing,4.0,A124,20.0,A143,A151,2.0,A173,1.0,missing,A201
A11,24.0,A33,A49,3552.0,A61,A74,3.0,A93,A101,4.0,A123,27.0,A141,A152,1.0,A173,1.0,A191,A201
A14,36.0,A32,A43,1819.0,A61,A73,4.0,A92,A101,4.0,A121,37.0,A142,A153,1.0,A173,1.0,A192,A201
A14,48.0,A32,A49,3914.0,A61,A73,4.0,A91,A101,2.0,A121,38.0,A143,A152,1.0,A173,1.0,A192,A201
A12,24.0,A33,missing,3878.0,A62,missing,4.0,A91,A101,2.0,missing,37.0,A143,A151,1.0,A173,1.0,missing,A201
A14,18.0,A33,missing,3422.0,A61,missing,4.0,A93,A101,4.0,A122,47.0,A141,A152,3.0,A173,2.0,missing,A201
A11,9.0,A32,missing,2136.0,missing,missing,3.0,A93,A101,2.0,A121,25.0,A143,A152,1.0,A173,1.0,missing,A201
A11,24.0,A34,A43,7758.0,A64,A75,2.0,A91,A101,4.0,A124,29.0,A141,A151,1.0,A173,1.0,A191,A201
A11,12.0,A34,A41,1526.0,A61,A75,4.0,A93,A101,4.0,A124,66.0,A143,A153,2.0,A174,1.0,A191,A201
A12,24.0,A33,A43,6403.0,A65,A74,1.0,A93,A101,2.0,A123,33.0,A143,A152,1.0,A173,1.0,A191,A201
A11,36.0,A32,A43,1842.0,A61,A73,4.0,A91,A101,4.0,A121,34.0,A142,A153,1.0,A172,1.0,A192,A201
A11,12.0,A33,A49,674.0,A62,A74,4.0,A93,A101,1.0,A122,20.0,A143,A152,1.0,A173,1.0,A191,A202
A14,12.0,A34,missing,1402.0,missing,missing,3.0,A92,A101,4.0,missing,37.0,A143,A151,1.0,A173,1.0,missing,A201
A12,6.0,A32,missing,14555.0,missing,missing,1.0,A93,A101,2.0,A122,23.0,A143,A152,1.0,A171,1.0,missing,A201
A11,24.0,A32,A43,3757.0,A61,A73,4.0,A92,A101,4.0,A124,62.0,A141,A153,1.0,A173,1.0,A192,A201
A12,10.0,A32,missing,2132.0,missing,missing,2.0,missing,missing,3.0,A121,27.0,A143,A151,2.0,A173,1.0,missing,missing
A14,4.0,A34,A41,1455.0,A61,A74,2.0,A93,A101,1.0,A121,42.0,A143,A152,3.0,A172,2.0,A191,A201
A13,15.0,A33,A49,2687.0,A61,A74,2.0,A93,A101,4.0,A123,26.0,A143,A151,1.0,A173,1.0,A192,A201
A11,21.0,A34,missing,1602.0,A61,missing,4.0,missing,A101,3.0,missing,30.0,A143,A152,2.0,A173,1.0,missing,A201
A12,24.0,A33,missing,1965.0,missing,missing,4.0,A92,A101,4.0,missing,42.0,A141,A151,2.0,A173,1.0,missing,A201
A11,12.0,A33,missing,701.0,A61,missing,4.0,missing,A101,2.0,A121,40.0,A143,A152,1.0,A172,1.0,missing,A201
A13,42.0,A32,A43,7174.0,A62,A73,4.0,A93,A101,3.0,A122,30.0,A143,A153,1.0,A172,1.0,A192,A201
A14,6.0,A32,missing,1238.0,A64,missing,4.0,A92,A101,4.0,A122,36.0,A143,A152,1.0,A174,2.0,missing,A201
A11,6.0,A32,missing,4716.0,missing,missing,1.0,A93,A101,3.0,A121,44.0,A143,A152,2.0,A172,2.0,missing,missing
A14,36.0,A34,A43,9566.0,A61,A73,2.0,A92,A101,2.0,A123,31.0,A142,A152,2.0,A174,1.0,A191,A201
A14,27.0,A34,missing,4526.0,A64,missing,4.0,A93,A101,2.0,A121,32.0,A142,A152,2.0,A172,2.0,missing,A201
A12,30.0,A32,A43,2991.0,A65,A74,2.0,A92,A101,4.0,A123,25.0,A143,A152,1.0,A173,1.0,A191,A201
A12,18.0,A32,A49,3001.0,A61,A74,2.0,A93,A101,4.0,A121,40.0,A143,A151,1.0,A173,1.0,A191,A201
A12,14.0,A33,A40,8978.0,A64,A75,1.0,A91,A101,4.0,A122,45.0,A143,A152,1.0,A174,1.0,A191,A202
A14,36.0,A32,A40,2299.0,A62,A75,4.0,A93,A101,4.0,A124,39.0,A143,A152,1.0,A172,1.0,A191,A201
A12,9.0,A33,missing,1136.0,A62,A73,4.0,missing,A101,3.0,A122,32.0,A141,A153,2.0,A173,2.0,missing,A201
A14,9.0,missing,A43,1501.0,missing,missing,2.0,A91,missing,3.0,missing,34.0,A143,A152,2.0,A174,1.0,missing,A201
A12,45.0,A32,A41,4576.0,A61,A71,3.0,A93,A101,4.0,A122,27.0,A143,A152,1.0,A173,1.0,A191,A202
A14,15.0,A32,A43,2327.0,A61,A73,2.0,A93,A101,3.0,A121,25.0,A143,A152,1.0,A172,1.0,A192,A201
A12,24.0,A32,A41,11560.0,A61,A73,1.0,A92,A101,4.0,A123,23.0,A143,A151,2.0,A174,1.0,A191,A201
A14,12.0,A34,A41,2748.0,A61,A71,2.0,A92,A101,4.0,A124,57.0,A141,A153,3.0,A172,1.0,A191,A201
A14,12.0,A33,missing,719.0,A64,missing,4.0,A92,missing,4.0,missing,41.0,A143,A152,1.0,A171,2.0,missing,missing
A14,30.0,A34,A43,4530.0,A61,A74,4.0,A92,A101,4.0,A123,26.0,A143,A151,1.0,A174,1.0,A191,A201
A12,48.0,A33,A40,10127.0,A62,A75,2.0,A93,A103,2.0,A124,44.0,A143,A151,1.0,A173,1.0,A191,A201
A11,21.0,A32,missing,3599.0,missing,missing,1.0,missing,A101,4.0,missing,26.0,A143,A151,1.0,A174,1.0,missing,missing
A13,27.0,A34,A43,2520.0,A62,A73,4.0,A93,A101,2.0,A124,23.0,A143,A153,2.0,A172,1.0,A192,A201
A14,18.0,A34,A43,1582.0,A64,A75,4.0,A91,A101,4.0,A124,46.0,A143,A152,2.0,A173,1.0,A191,A202
A12,18.0,A32,A43,1924.0,A64,A73,4.0,A91,A101,3.0,A121,27.0,A143,A151,1.0,A173,1.0,A192,A201
A14,22.0,A32,A43,2675.0,missing,missing,3.0,missing,missing,4.0,missing,40.0,A143,A152,1.0,A173,1.0,missing,A201
A12,24.0,A33,missing,2333.0,A65,A72,4.0,missing,missing,2.0,A122,29.0,missing,A152,1.0,A172,1.0,A191,A201
A13,12.0,A32,A43,6199.0,A61,A73,4.0,A92,A101,2.0,A121,28.0,A141,A152,2.0,A174,1.0,A192,A201
A14,48.0,A32,A43,10297.0,A61,A73,4.0,A93,A101,4.0,A124,39.0,A142,A153,3.0,A173,2.0,A192,A201
A11,27.0,A34,A43,3416.0,A61,A73,3.0,A93,A101,2.0,A121,27.0,A143,A152,1.0,A174,1.0,A192,A201
A12,24.0,A33,A41,3092.0,A61,A73,3.0,A93,A101,2.0,A124,22.0,A143,A153,1.0,A173,1.0,A192,A201
A14,24.0,A34,A43,1516.0,A61,A73,4.0,A93,A101,1.0,A121,43.0,A143,A152,2.0,A172,1.0,A192,A201
A14,15.0,A32,A43,1979.0,A65,A74,4.0,A93,A101,2.0,A123,35.0,A143,A152,1.0,A173,1.0,A191,A201
A12,30.0,A33,A41,4249.0,A62,A71,4.0,A92,A101,2.0,A122,28.0,A142,A151,2.0,A174,1.0,A191,A201
A14,24.0,A32,missing,3430.0,missing,A73,3.0,A92,A101,2.0,missing,31.0,A143,A152,1.0,A173,2.0,missing,A201
A13,15.0,missing,missing,1778.0,missing,missing,2.0,A91,A101,1.0,A121,26.0,A143,A152,2.0,A171,1.0,missing,missing
A12,21.0,A32,A43,1188.0,A61,A73,2.0,A91,A101,4.0,A122,39.0,A143,A153,1.0,A174,2.0,A192,A201
A12,42.0,A34,A41,9283.0,A61,A71,1.0,A93,A101,2.0,A124,55.0,A141,A153,1.0,A174,1.0,A191,A201
A11,15.0,A33,missing,1053.0,A61,A73,4.0,missing,missing,2.0,A121,27.0,A143,A152,1.0,A173,1.0,missing,missing
A12,18.0,missing,missing,3612.0,A64,missing,3.0,missing,A101,4.0,A122,37.0,A143,A152,1.0,A173,1.0,missing,A201
A13,21.0,A32,A49,3652.0,A61,A74,2.0,A93,A101,3.0,A122,27.0,A143,A152,2.0,A173,1.0,A191,A202
A12,10.0,A32,missing,1225.0,A61,missing,2.0,A91,A101,2.0,missing,37.0,A143,A153,1.0,A173,1.0,missing,A201
A14,30.0,A33,A43,7485.0,A61,A73,4.0,A91,A101,1.0,A121,53.0,A141,A152,1.0,A174,1.0,A192,A201
A14,24.0,A32,A49,1258.0,A61,A74,4.0,A93,A101,1.0,A121,25.0,A143,A152,1.0,A173,1.0,A191,A201
A11,36.0,A32,A41,8335.0,A64,A75,3.0,A93,A101,4.0,A124,47.0,A143,A153,1.0,A173,1.0,A191,A201
A14,48.0,A33,A49,3609.0,A61,A73,1.0,A92,A101,1.0,A121,27.0,A142,A152,1.0,A173,1.0,A191,A201
A14,12.0,A32,A40,1555.0,A62,A75,4.0,A93,A103,4.0,A124,55.0,A143,A152,2.0,A173,2.0,A191,A201
A11,15.0,A33,A43,3959.0,A61,A73,3.0,A93,A101,2.0,A122,29.0,A141,A151,1.0,A171,1.0,A192,A201
A13,24.0,A32,A41,6967.0,A64,A74,4.0,A93,A101,4.0,A123,36.0,A143,A151,1.0,A174,1.0,A191,A201
A12,48.0,A32,missing,7582.0,A62,missing,2.0,A93,missing,4.0,A124,31.0,A143,A153,1.0,A172,1.0,missing,A201
A12,24.0,missing,missing,1837.0,missing,missing,4.0,A92,A101,4.0,A124,34.0,A141,A153,1.0,A172,1.0,missing,A201
A11,48.0,A32,A43,6758.0,A61,A73,3.0,A92,A101,2.0,A123,31.0,A143,A152,1.0,A173,1.0,A191,A201
A11,24.0,missing,missing,2483.0,missing,A73,4.0,A93,A101,4.0,A122,22.0,A142,A152,1.0,A173,1.0,missing,A201
A11,30.0,A33,A49,8072.0,A62,A74,2.0,A93,A101,3.0,A123,25.0,A141,A152,3.0,A173,1.0,A191,A201
A12,12.0,A32,A41,639.0,A61,A73,4.0,A91,A101,2.0,A124,30.0,A143,A151,1.0,A173,1.0,A192,A201
